Date,Daily Average,Weekly Average
2021-07-03,9.55631275,9.299606375
2021-07-04,7.37525045833333,9.22338891666667
2021-07-05,8.64502120833333,8.66236479464286
2021-07-06,9.30683358333333,8.91297810119048
2021-07-07,8.879687875,9.00077270238095
2021-07-08,10.9650206875,9.20589547916667
2021-07-09,11.1273948333333,9.40793162797619
2021-07-10,10.3962294791667,9.52791973214286
2021-07-11,10.5232094375,9.9776281577381
2021-07-12,9.0599169375,10.0368989761905
2021-07-13,9.81582702083333,10.1096123244048
2021-07-14,8.77973754166667,10.0953337053571
2021-07-15,8.6877473125,9.7700089375
2021-07-16,9.3822720625,9.52070568452381
2021-07-17,8.18804470833333,9.2052507172619
2021-07-18,11.0158335625,9.27562559226191
2021-07-19,11.7062914166667,9.65367908928572
2021-07-20,11.6266864791667,9.91237329761905
2021-07-21,11.1431861458333,10.2500088125
2021-07-22,12.1073963541667,10.7385301041667
2021-07-23,9.20333564583333,10.7129677589286
2021-07-24,6.19934983333333,10.4288684910714
2021-07-25,7.99939925,9.99794930357143
2021-07-26,8.3055005,9.51212202976191
2021-07-27,9.17867979166667,9.16240678869048
2021-07-28,10.2518359166667,9.03507104166667
2021-07-29,5.74191208333333,8.12571614583333
2021-07-30,9.67033360416667,8.19243013988095
2021-07-31,10.4119791666667,8.79423433035714
2021-08-01,8.4821249375,8.86319514285715
2021-08-02,7.79947485416667,8.79090576488095
2021-08-03,9.1435595,8.78588858035714
2021-08-04,10.4574595,8.81526337797619
2021-08-05,11.2676055833333,9.60464816369048
2021-08-06,10.7980841458333,9.76575538392857
2021-08-07,8.45525,9.48622264583334
2021-08-08,8.28304895833333,9.4577832202381
2021-08-09,11.720379125,10.0179124017857
2021-08-10,9.85229077083333,10.1191597261905
2021-08-11,10.2481353958333,10.0892562827381
2021-08-12,11.0446475,10.0574051279762
2021-08-13,10.3693269791667,9.99615410416667
2021-08-14,10.4582887708333,10.2823025
2021-08-15,11.1551165,10.6925978630952
2021-08-16,10.2043959375,10.4760288363095
2021-08-17,11.3645014375,10.6920589315476
2021-08-18,10.7258755416667,10.7603075238095
2021-08-19,13.2662921666667,11.0776853333333
2021-08-20,12.970458625,11.4492755684524
2021-08-21,12.0583354166667,11.6778536607143
2021-08-22,11.0952877708333,11.6693066994048
2021-08-23,11.6227119375,11.8719232708333
2021-08-24,11.2972083333333,11.8623099702381
2021-08-25,12.1847134375,12.0707153839286
2021-08-26,10.8180208541667,11.7209623392857
2021-08-27,10.6098752291667,11.383736139881
2021-08-28,9.09980452083333,10.9610888690476
2021-08-29,10.4275677708333,10.865700297619
2021-08-30,12.2837979791667,10.9601411607143
2021-08-31,13.5055391666667,11.2756169940476
2021-09-01,13.73264675,11.4967503244048
2021-09-02,15.1852783333333,12.12064425
2021-09-03,15.1970031875,12.7759482440476
2021-09-04,13.9642716666667,13.4708721220238
2021-09-05,12.2912610625,13.7371140208333
2021-09-06,11.6849790833333,13.6515684642857
2021-09-07,35.6318557708333,16.8124708363095
2021-09-08,20.0766669375,17.7187594345238
2021-09-09,76.0779785833334,26.4177166130952
2021-09-10,16.1050295833333,26.5474346696429
2021-09-11,11.8635416666667,26.2473303839286
2021-09-12,11.9585208333333,26.1997960654762
2021-09-13,10.3540416666667,26.0096621488095
2021-09-14,16.2935325833333,23.2470445505952
2021-09-15,21.1848541666667,23.4053570119048
2021-09-16,9.8819375,13.9487797142857
2021-09-17,13.2436184791667,13.5400066994048
2021-09-18,17.7057614166667,14.3746095208333
2021-09-19,12.3182414791667,14.4259981845238
2021-09-20,11.4782087916667,14.5865934880952
2021-09-21,15.0807708333333,14.4133418095238
2021-09-22,16.4102525833333,13.7312558690476
2021-09-23,12.8718257291667,14.1583827589286
2021-09-24,15.4796251666667,14.4778122857143
2021-09-25,18.4187982291667,14.5796746875
2021-09-26,10.0422512083333,14.2545332202381
2021-09-27,10.4783541666667,14.1116968452381
2021-09-28,15.5423758333333,14.1776404166667
2021-09-29,13.80989725,13.8061610833333
2021-09-30,16.057998875,14.2613286755952
2021-10-01,17.2762502708333,14.5179894047619
2021-10-02,19.6273393541667,14.6906381369048
2021-10-03,10.1959677083333,14.7125976369048
2021-10-04,13.2080224583333,15.10255025
2021-10-05,15.9402511875,15.1593895863095
2021-10-06,18.7730416666667,15.8684102172619
2021-10-07,20.080329,16.4430288065476
2021-10-08,18.5104166666667,16.6193382916667
2021-10-09,14.5064583333333,15.887783860119
2021-10-10,10.88925,15.9868241875
2021-10-11,12.6990833333333,15.9141185982143
2021-10-12,14.9926547083333,15.778747672619
2021-10-13,18.0706702708333,15.6784089017857
2021-10-14,19.1639295416667,15.5474946934524
2021-10-15,14.4439791666667,14.9665750505952
2021-10-16,15.2052896666667,15.0664080982143
2021-10-17,17.2605416666667,15.9765926220238
2021-10-18,17.9611401666667,16.7283150267857
2021-10-19,17.1928839791667,17.0426334940476
2021-10-20,16.5870211666667,16.8306836220238
2021-10-21,17.31356,16.5663451160714
2021-10-22,18.8139772916667,17.1906305625
2021-10-23,16.79104275,17.4171667172619
2021-10-24,16.0967567916667,17.2509117351191
2021-10-25,14.3937933333333,16.7412907589286
2021-10-26,13.8948120833333,16.2701376309524
2021-10-27,20.6044375,16.84405425
2021-10-28,16.440625,16.71934925
2021-10-29,12.188913375,15.772911547619
2021-10-30,12.717125,15.1909232976191
2021-10-31,9.26780504,14.2153587616667
2021-11-01,11.5867296041667,13.8143496575
2021-11-02,41.4215989583333,17.7467477825
2021-11-03,18.3089385416667,17.418819359881
2021-11-04,18.9333428333333,17.7749219075
2021-11-05,16.9190833333333,18.4506604729762
2021-11-06,11.4980774375,18.2765108211905
2021-11-07,13.4318120416667,18.8713689642857
2021-11-08,19.1022730416667,19.9450180267857
2021-11-09,15.1873305208333,16.1972653928571
2021-11-10,16.0637831666667,15.8765289107143
2021-11-11,15.8402106875,15.434652889881
2021-11-12,15.7669585416667,15.2700636339286
2021-11-13,17.7770309375,16.1670569910714
2021-11-14,14.1796458333333,16.273890389881
2021-11-15,12.3032992708333,15.302608422619
2021-11-16,16.7265915208333,15.5225028511905
2021-11-17,14.9157297083333,15.3584952142857
2021-11-18,12.4848542291667,14.879158577381
2021-11-19,17.2579990833333,15.0921643690476
2021-11-20,19.2239791666667,15.2988712589286
2021-11-21,18.8477668333333,15.9657456875
2021-11-22,15.0251474583333,16.3545811428571
2021-11-23,17.5849583333333,16.4772049732143
2021-11-24,31.7950831041667,18.8885411726191
2021-11-25,21.2393787083333,20.1391875267857
2021-11-26,21.9914801666667,20.815399110119
2021-11-27,23.4351875,21.4170003005952
2021-11-28,25.3224708333333,22.341958014881
2021-11-29,25.4238012708333,23.8274799880952
2021-11-30,20.3476480208333,24.2221499434524
