,INTELEC,INTEW,INTFR,INTGRNL,INTIFA2,INTIRL,INTNED,INTNEM,INTNSL,INTVKL
110,982,-139,1881,0,485,-266,942,905,1398,889
111,967,-481,1936,0,965,-447,952,809,1399,953
112,595,-39,973,0,597,140,445,324,1383,842
113,379,-51,1316,0,475,-96,428,124,1397,1329
114,311,30,1040,0,371,142,373,242,1050,172
115,773,17,1667,0,775,-49,464,615,1267,373
116,795,37,1767,0,871,-55,736,638,1123,277
117,786,-315,1530,0,823,-348,700,393,807,676
118,853,-526,1694,0,866,-410,955,510,852,963
119,851,-390,1629,0,865,-347,641,566,1399,771
120,792,13,1730,0,826,42,225,472,829,-360
121,533,-300,1166,0,566,-234,136,-31,564,442
122,874,-400,1589,0,873,-291,534,736,1361,1307
123,983,-424,1935,0,980,-445,813,905,1228,930
124,960,-106,1909,0,961,-92,411,647,1385,1290
125,984,-464,1947,0,975,-392,587,886,1285,645
126,727,26,968,0,725,106,-39,505,1189,833
127,698,-382,801,0,756,-363,193,362,1152,496
128,977,-410,834,0,991,-412,452,650,1373,281
129,957,-95,1170,0,951,-147,-27,457,1239,348
130,985,-219,1833,0,962,-249,-416,115,767,320
131,840,-85,992,0,711,-284,-179,156,-491,-275
132,797,-383,1410,0,752,-367,586,744,457,-8
133,985,-353,1895,0,957,-346,509,766,1237,253
134,990,-198,1413,0,982,-312,332,602,1369,870
135,949,-334,1521,0,856,-407,-14,416,1254,464
136,997,-521,1788,0,990,-425,575,849,1287,575
137,995,-517,1183,0,959,-452,576,870,1399,753
138,997,-95,1183,0,990,-179,694,812,1400,835
139,981,-27,1226,0,872,-119,446,877,1353,133
140,997,-290,1364,0,960,-336,261,826,1126,260
141,996,-490,1304,0,989,-438,644,976,1381,702
142,994,-514,1496,0,983,-440,321,784,966,-182
143,996,-356,1135,0,987,-297,629,959,1216,163
144,988,-2,1393,0,804,30,111,236,-17,40
145,813,-154,827,0,737,-67,-482,-212,-1195,-567
146,355,-115,509,0,348,-85,-192,-445,-1020,-185
147,998,-311,1106,0,992,-157,-303,177,1000,-32
148,988,-201,864,0,924,-155,-42,539,716,-31
149,919,-152,816,0,872,-268,-12,302,930,0
150,798,-452,661,0,764,-345,-546,-227,924,0
151,728,-532,721,0,709,-433,-376,-186,70,0
152,875,-381,629,0,765,-403,-278,-28,-572,0
153,751,-339,380,0,573,-180,-153,254,776,-8
154,580,6,708,0,598,-118,-566,277,-55,-587
155,901,0,825,0,884,-356,-307,627,370,-259
156,934,0,891,0,934,-338,-626,149,1311,-384
157,874,0,900,0,880,-295,-385,309,1250,-432
158,958,-168,925,0,946,-426,327,558,548,441
159,994,-517,996,0,979,-451,782,986,1399,229
160,996,-526,894,0,925,-449,713,983,1255,407
161,902,-215,880,0,881,-299,-136,465,1360,-273
162,849,-310,906,0,903,-263,-123,343,1303,-539
163,923,-462,893,0,870,-411,281,667,1204,-178
164,895,-463,870,0,860,-446,-140,352,974,-288
165,972,-463,974,0,968,-410,387,760,1253,131
166,996,-529,1001,0,991,-452,605,992,1395,553
167,986,-506,966,0,918,-452,738,895,1398,697
168,948,-374,829,0,896,-346,-188,238,1249,183
169,996,-499,960,0,927,-429,127,618,1379,1120
170,996,-415,997,0,992,-388,241,869,1398,1193
171,997,-491,995,0,989,-452,182,840,1397,1298
172,996,-463,1005,0,992,-432,220,895,1398,698
173,996,-520,946,0,963,-452,36,641,1398,-56
174,996,-473,998,0,989,-302,484,828,1119,728
175,994,-334,998,0,983,-244,-27,609,1398,-122
176,989,-507,994,0,981,-247,145,669,1302,105
177,996,-513,1006,0,992,-247,-535,504,1293,-298
178,996,-511,1006,0,992,-233,25,944,1388,271
179,995,-396,1006,0,992,-291,-132,973,1399,90
180,973,-175,588,0,950,-324,79,823,1399,134
181,971,-528,383,0,353,-385,403,648,1226,468
182,940,-283,796,0,-4,-339,70,246,1399,1153
183,853,-73,473,0,79,-408,253,413,1398,1155
184,996,-89,923,0,992,-431,-208,-6,1399,1235
185,996,-430,814,0,959,-292,-166,537,1400,1293
186,953,-322,951,0,990,-377,-113,700,1399,1404
187,979,-328,966,0,992,-375,290,843,1400,481
188,995,-451,948,0,991,-410,552,885,1400,483
189,996,-499,1002,0,992,-427,357,948,1399,291
190,997,-509,1003,0,992,-417,170,949,1399,1381
191,993,-65,837,0,971,-82,0,802,1379,708
192,982,-85,896,0,911,-8,-439,331,1194,-397
193,997,-462,1382,0,992,-365,12,590,1399,234
194,976,-201,1907,0,992,-226,192,500,1399,170
195,972,-523,1770,0,981,-410,427,686,1399,156
196,997,-499,1552,0,986,-394,-56,500,1399,-429
197,996,-130,1476,0,991,-227,144,759,1399,-76
198,917,-290,1116,0,989,-339,244,417,893,441
199,997,-152,1495,0,989,-187,-275,111,1289,-413
200,994,-520,1474,0,979,-378,364,-350,1236,217
201,983,-526,1341,0,990,-424,813,-160,1394,403
202,982,-511,1179,0,834,-402,577,329,1399,659
203,986,-446,1399,0,982,-403,-265,-350,1398,323
204,964,-145,1328,0,953,-231,-336,167,1219,7
205,995,-529,1489,0,930,-423,-112,169,1209,656
206,996,-459,1988,0,982,-382,-65,502,1398,237
207,996,-485,1850,0,965,-305,-354,290,1289,-331
208,976,-500,1510,0,812,-344,-264,207,512,383
209,828,-503,1341,0,729,-359,195,351,865,634
210,988,-485,1666,0,274,-411,-369,574,1398,662
211,989,-502,1594,0,-2,-427,387,496,1398,1028
212,998,-412,1963,0,-2,-440,372,-2,1399,1109
213,987,-77,1884,0,-2,-131,-94,0,1322,33
214,991,-470,2008,0,-2,-417,186,90,1203,305
215,880,-315,1463,0,452,-373,981,786,1399,964
216,905,-512,1510,0,748,-409,685,571,1399,86
217,998,-378,1984,0,-2,-400,221,838,1398,243
218,997,-46,1955,0,67,-242,-81,366,1363,52
