,BIOMASS,CCGT,COAL,NPSHYD,NUCLEAR,OCGT,OIL,OTHER,PS,WIND,INT
47,864,2798,135,923,4861,2,0,364,-236,12259,5257
48,906,4339,143,815,4669,7,0,344,-175,10811,4509
49,1703,4397,102,676,4667,4,0,327,-380,11206,3268
50,2211,7943,110,693,4661,1,0,342,-107,10930,3159
51,2292,10085,85,621,4657,13,0,344,61,7750,5480
52,2948,14544,375,599,4653,4,0,374,-185,5725,3814
53,2807,13808,11,567,4278,2,0,277,-132,7443,3802
54,2366,12809,170,579,3941,11,0,339,43,5275,4862
55,2696,13434,572,536,3676,0,0,284,-126,5025,5220
56,2588,18392,768,470,3509,1,0,344,-164,9221,847
57,2872,19599,603,351,3251,4,0,335,-101,11544,-3190
58,2870,22303,767,348,3097,11,0,434,58,7765,-2583
59,2870,23604,822,375,3107,1,0,357,-32,6307,-2030
60,2883,22901,1148,435,3104,5,0,413,48,4653,-140
61,1445,15846,971,249,3104,2,0,304,-73,7087,2947
62,1819,10968,1148,212,3021,1,0,270,-366,9601,4689
63,2331,15346,1461,244,2663,51,0,378,-238,13000,413
64,3010,21207,1526,409,2481,53,0,399,4,9102,-1235
65,2957,21776,1253,441,2485,51,0,389,103,6087,1970
66,2460,20851,1057,473,2484,1,0,403,12,8687,982
67,739,17395,846,429,2475,0,0,332,-204,12975,393
68,751,9112,416,476,2483,1,0,262,-286,15531,1719
69,946,5441,212,636,2483,1,0,279,-20,13619,4994
70,909,6637,400,751,2475,1,0,315,-63,13862,5328
71,793,7045,295,738,2328,5,0,251,-49,13395,5565
72,1621,8016,204,808,2636,10,0,298,-125,13162,4568
73,1916,10533,472,865,2756,6,0,351,112,11116,3689
74,2145,5025,349,857,3106,2,0,373,-45,13931,3620
75,2889,6057,330,777,3490,1,0,333,-212,11141,3996
76,2770,4087,145,797,3673,0,0,396,-370,12612,3605
77,3165,13062,923,838,3690,40,0,349,293,5839,4221
78,2943,11491,1084,737,3705,71,0,311,13,8628,3520
79,3039,8265,1166,627,3716,51,0,312,-174,13093,1922
80,2544,8299,800,663,3685,7,0,339,-6,11699,3714
81,2331,3757,304,676,3732,0,0,325,-115,14407,4051
82,1411,3766,133,725,3756,1,0,361,-144,13417,3046
83,1446,3047,171,789,3764,8,0,343,-465,14557,2243
84,2384,3520,332,809,3771,0,0,324,267,14494,3405
85,2553,6644,124,867,3780,10,0,365,-120,12399,3491
86,3125,16570,1029,851,3783,47,0,401,311,2790,4831
87,3018,11996,1124,712,3781,3,0,356,-104,10034,2556
88,2560,6774,594,699,3764,16,0,337,-393,13202,4214
89,2310,11047,532,723,3556,5,0,339,-2,4445,6251
90,2160,10614,655,690,3700,1,0,335,-31,4187,6287
91,2082,11416,426,612,3701,9,0,368,-103,10733,751
92,2012,11524,247,552,3784,6,2,323,-169,10099,4062
93,2325,11133,353,578,3791,3,0,311,-95,7728,5417
94,2459,9779,134,644,3769,2,0,276,-48,8997,3959
95,2055,10785,288,822,3789,2,0,347,211,4635,6508
96,2203,7732,136,724,3790,9,0,320,-166,7746,4808
97,1657,5269,198,682,3789,1,0,254,-282,9300,5394
98,2054,7168,125,705,3787,14,0,395,-136,11968,2749
99,2173,6105,187,590,3786,33,0,400,85,12333,3500
100,2201,4639,0,647,3786,7,0,348,-13,13313,5214
101,2020,6815,101,837,3792,36,0,441,-26,10816,6373
102,2521,8768,164,760,3789,2,0,361,-282,8188,7247
103,2528,13309,217,800,3788,6,0,364,132,1024,7447
104,2271,11059,148,657,3787,0,0,289,-181,3720,7451
105,2197,11591,155,609,3788,3,0,376,-82,9520,3681
106,2302,13807,365,521,3786,17,0,386,-85,9376,2149
107,2215,12148,238,542,3784,38,0,351,-49,10555,2309
108,1862,9956,0,628,3785,7,0,321,-194,9639,5402
109,2739,9348,275,696,3784,13,0,382,196,8199,6310
110,2504,8350,266,639,3784,2,0,287,-172,7526,7077
111,2924,11429,368,602,3769,2,0,260,-145,3067,7053
112,2863,12275,634,551,3132,3,0,335,-76,6618,5260
113,2759,13427,878,442,3128,19,0,331,-74,5805,5301
114,2826,15026,1208,469,3133,3,0,323,-61,5148,3731
115,2192,9013,970,459,3130,13,0,276,33,9603,5902
116,595,4685,347,421,3127,10,0,350,23,13480,6189
117,758,3891,195,337,3152,13,0,267,-333,13595,5052
118,1245,5389,371,335,3453,8,0,248,-319,11560,5757
119,1971,14119,1066,467,3448,79,0,373,204,5222,5985
120,2110,11391,1080,378,3359,2,0,296,43,6937,4569
121,1667,6678,472,381,3698,25,0,296,-215,12989,2842
122,1400,6594,283,513,3704,9,0,282,-133,10279,6583
123,1169,4389,215,466,3702,1,0,287,-272,11058,6905
124,1548,7498,191,514,3702,21,0,294,75,5878,7365
125,1429,5248,197,584,3700,6,0,278,-41,8333,6453
126,1619,8037,488,486,3700,6,0,307,-94,8327,5040
127,1626,9279,886,551,3719,51,2,348,-96,8248,3713
128,1645,14685,928,690,3958,42,0,416,250,2522,4736
129,1557,6769,237,394,4075,6,0,321,-423,10090,4853
130,1238,4008,103,342,4317,12,0,312,-91,12444,4098
131,363,2625,0,345,4352,30,0,315,-180,14468,1385
132,907,5745,143,575,4358,34,0,328,-177,8857,3988
133,1563,10502,356,619,4414,10,0,326,41,6258,5903
134,2024,9502,630,575,4423,12,0,343,50,5809,6048
135,1868,5022,340,484,4539,10,0,367,-118,11542,4705
136,1436,3879,173,487,4203,29,0,333,-137,12041,6115
137,1372,4656,211,512,4016,32,0,447,66,8174,5766
138,1564,7122,131,492,4024,9,0,322,-150,3643,6637
139,1606,5011,319,464,4197,12,0,256,-157,6488,5742
140,2284,4996,228,391,4385,16,0,332,-188,7006,5168
141,2165,8863,287,303,4486,16,0,313,-79,5795,6064
142,2303,4810,144,298,4755,0,0,247,-44,11039,4408
143,2380,8130,114,353,4950,0,0,292,297,6444,5432
144,1245,1878,104,379,4953,0,0,351,-101,12696,3583
145,868,2391,37,360,4558,30,0,329,-282,13503,-300
146,901,2329,278,317,4576,28,0,329,-496,13648,-830
147,2185,7819,315,491,4604,1,0,306,206,7397,3470
148,2823,2266,85,497,4794,1,0,345,-175,12750,3602
149,2802,3556,168,488,4990,10,0,367,64,12157,3407
150,2603,3683,313,475,5312,36,0,422,140,11615,1577
151,2200,2274,159,518,5367,24,0,485,7,12500,701
152,1216,2348,99,449,5379,41,0,433,-186,11328,607
153,1248,2848,255,520,5382,17,0,394,-455,9516,2054
154,1248,1991,289,557,5387,26,0,375,-31,14076,843
155,2505,3001,210,573,5316,4,0,296,0,11744,2685
156,2983,6706,556,623,5311,13,0,321,139,7580,2871
157,2878,5367,418,556,5308,5,0,319,-196,9065,3101
158,1284,2747,292,514,5304,8,0,319,-164,11784,4109
159,2754,3614,362,622,5353,1,0,307,23,6041,5397
160,2713,5319,282,505,5384,24,0,309,-239,4917,5198
161,3145,13438,349,419,5382,34,0,393,240,2543,3565
162,3123,9713,294,290,5388,5,0,350,-59,6061,3069
163,3013,8172,400,394,5392,8,0,375,-42,6481,3787
164,2948,12058,592,354,5393,6,0,355,3,4946,2614
165,2840,12404,622,360,5391,9,0,389,40,1489,4572
166,2549,7891,480,347,5394,0,0,296,65,3661,5552
167,1033,4017,245,252,5392,1,0,295,-455,8345,5640
168,1963,4081,238,201,5392,72,0,373,-279,9845,3435
169,2000,3486,177,235,5391,33,0,361,32,8046,5199
170,2901,7478,152,318,5378,5,0,367,308,3945,5883
171,2319,3803,157,269,5374,13,0,376,-319,8132,5755
172,2602,6889,234,273,5373,43,0,371,-53,5834,5309
173,1986,7295,243,347,5367,6,0,307,110,3267,3952
174,1772,8462,238,301,5364,0,0,229,-219,1066,5367
175,2652,9252,192,260,5358,13,0,283,-11,1539,4255
176,2827,10391,224,170,5354,0,0,276,-62,1674,4431
177,3151,9686,93,157,5299,6,0,383,-77,2777,3198
178,3114,8462,0,188,4684,2,0,368,54,2234,4878
179,3042,9312,26,211,4711,3,0,355,29,1305,4636
180,2101,4125,186,195,4711,63,0,404,49,4143,4447
181,1332,3898,25,130,4710,9,0,287,-634,7151,3539
182,2569,6057,148,247,4709,39,0,394,281,5736,3978
183,1626,8155,0,180,4717,29,0,373,-121,6166,4143
184,2090,10628,27,201,4702,16,0,429,122,1931,4811
185,1940,11350,183,206,4715,22,0,377,0,2219,5111
186,1467,10747,106,175,4710,2,0,310,-206,1306,5585
187,1454,7737,120,225,4700,1,0,303,33,2295,5248
188,1501,5224,174,174,4687,0,0,279,-104,2789,5393
189,1616,8400,249,181,4687,3,0,317,-10,3117,5059
190,1626,11178,91,197,4694,22,0,399,45,1535,5965
191,1486,6483,146,168,4693,15,0,373,-332,7465,5543
192,1420,5205,0,232,4559,9,0,370,-79,9521,3385
193,1487,11875,64,266,4699,13,0,381,129,1527,4779
194,1559,5157,131,232,4700,1,0,299,-133,3628,5709
195,1683,3550,226,210,4699,2,0,297,-170,4858,5458
196,2103,4429,190,236,4696,6,0,402,-128,4581,4056
197,2199,5414,174,267,4699,29,0,384,-14,6468,5332
198,2070,5692,0,254,4668,44,0,421,-18,6344,4388
199,1938,2797,0,281,4697,20,0,381,-11,9805,3854
200,1829,3006,0,320,4693,8,0,367,162,9062,4016
201,706,3319,0,203,4691,1,0,278,-123,7317,4814
202,1468,3597,0,174,4686,22,0,353,-581,4690,5046
203,2044,8110,0,194,4675,108,0,531,123,4813,3624
204,1939,3605,0,179,4551,17,0,309,-282,9259,3926
205,1194,3237,115,205,4648,2,0,320,-259,8838,4384
206,2278,5119,0,235,4635,15,0,360,233,5613,5197
207,1857,3566,0,194,4511,12,0,279,-70,8475,3915
208,1209,3104,0,122,4239,16,0,300,-128,7787,3292
209,999,3891,0,182,4236,21,0,346,-239,6986,4081
210,1650,3824,0,237,4319,29,0,499,-187,8492,4297
211,1884,6495,0,223,4548,25,0,477,-12,6509,4961
212,1827,11035,0,364,4559,18,0,431,219,2165,4985
213,1843,7199,0,310,4323,8,0,405,-9,7060,3922
214,2209,5108,0,310,4300,21,0,482,54,7363,3894
215,1805,4585,0,311,4687,66,0,453,-49,3868,6237
216,1665,2949,0,225,4641,17,0,354,-719,6419,4983
217,2235,7391,0,224,4642,8,0,365,262,3666,4902
218,2260,9412,0,205,4709,6,0,376,19,2980,4431
219,2275,7210,0,178,4718,21,0,410,12,3624,5328
220,2303,8828,0,196,4729,15,0,516,166,2459,4562
221,2266,4931,0,211,4733,21,0,487,-111,5997,4084
222,1820,4087,0,175,4731,7,0,429,-240,3936,5787
223,2209,5489,0,169,4809,12,0,418,-264,2518,5893
224,2291,8604,0,231,4994,49,0,553,73,2819,5290
225,2272,9799,216,260,5120,3,0,353,128,1966,4779
226,1668,9543,88,211,5255,25,0,460,121,2768,4426
227,1537,4275,0,128,5234,11,0,419,-410,8962,1739
228,1170,4324,58,162,5231,22,0,412,-355,9565,885
229,1568,4340,179,236,4917,12,0,361,113,3204,5839
230,1967,4585,138,350,4868,25,0,362,34,3418,5772
231,2266,5194,26,236,4931,1,0,356,-97,5889,5527
232,2155,6006,228,256,5218,5,0,400,126,5544,4441
233,2061,4680,306,213,5260,28,0,476,-268,8085,3564
234,1173,3116,0,104,5185,20,0,413,-559,13014,-1062
235,1791,5009,0,247,4955,5,0,364,477,7771,3136
236,1402,2624,0,284,4906,0,0,346,-215,6333,5287
237,1411,4555,0,352,4853,1,0,360,-225,4253,5543
238,1626,10899,259,402,4535,1,0,369,249,1239,5009
239,1552,5253,101,362,4585,18,0,384,38,7691,5619
240,1537,5386,0,309,4590,26,0,463,-316,7845,4595
241,1577,9824,0,317,4419,28,0,357,123,3211,4035
242,2044,7438,0,295,4579,1,0,290,-7,5285,4837
243,1691,4560,0,268,4574,24,0,391,-74,5364,5317
244,1882,4406,0,250,4584,3,0,339,-438,4811,5729
245,2294,10347,241,295,4575,5,0,352,280,1483,5680
246,2131,7873,305,277,4590,10,0,458,30,4126,5405
247,2310,9064,315,228,4570,19,0,378,-19,2219,4966
248,2371,7428,123,272,4592,51,0,460,-213,4967,3883
249,2334,5710,208,193,4270,24,0,397,-125,6596,3961
250,2312,6372,210,191,4112,22,0,287,-19,3390,6196
251,1823,4951,203,205,4114,26,0,338,-130,3468,5767
252,2173,7193,301,206,4116,41,0,440,183,4064,5535
253,2313,9515,221,237,4110,25,0,403,23,2197,5529
